9.32831183851579	9.381645432589895	9.394405434210213	22	101
9.395083453343931	9.443635713477551	9.44446347231282	24	109
9.445141491446538	9.506815251659079	9.512668509545207	26	116
9.513346528678923	9.576611831950709	9.577949152755448	28	124
9.578633597286805	9.643280361051474	9.646158939194786	30	132
9.64682410753322	9.713720039837465	9.728136117858554	32	140
9.728814136992272	9.798013434668372	9.811580242740348	34	150
9.812258261874065	9.878223908345893	9.8950179422245	37	160
9.895708812153499	9.962159715829804	9.9784866512364	39	171
9.979164670370116	10.03026948955803	10.046696158310622	42	181
10.04737417744434	10.10546871180555	10.111986579299883	44	189
10.11267102383124	10.162634915890148	10.180205864153125	46	197
10.180877457889201	10.22799880990461	10.228784105242426	48	205
10.229468549773785	10.278688213166756	10.295567174040276	49	211
10.296258043969274	10.347203904406845	10.362299398387226	51	220
10.362990268316224	10.41994108189728	10.429049222736408	53	228
10.42974651806305	10.489327274835208	10.495802678832085	55	236
10.496493548761086	10.55969878853318	10.562564795246322	57	244
10.563262090572964	10.628039597211377	10.629334454518661	59	252
10.630031749845301	10.693827008739937	10.696056062991246	61	4
10.696759783715528	10.762146306304292	10.76280421114974	63	12
10.763482230283458	10.826954263740223	10.829565489468633	65	21
10.83024993399999	10.888295020735875	10.896341574138612	67	29
10.89702601866997	10.952771371780491	10.963068490548379	69	37
10.963759360477379	11.01800340546075	11.029829210137041	71	45
11.0305136546684	11.083142969287996	11.096582386867604	73	53
11.097273256796603	11.158817112230745	11.16333919534466	75	61
11.164030065273659	11.22192150119638	11.230095445091484	77	70
11.230792740418126	11.292013649779511	11.296832977375615	79	78
11.297517421906974	11.353085657534686	11.363595093789852	81	86
11.364285963718853	11.421366682078308	11.430347432425071	83	94
11.43103830235407	11.486047249021873	11.497108710743962	85	102
11.497806006070604	11.548001771174828	11.56386160810941	87	110
11.56455247803841	11.611161195068087	11.613899811288864	89	118
11.614590681217864	11.672873787031591	11.680665559449594	91	125
11.681356429378594	11.739875319349247	11.747412310782515	93	133
11.748109606109155	11.81004624889476	11.814186160531575	95	141
11.814864179665292	11.875962727106378	11.880909445194849	97	149
11.881593889726208	11.944437351674583	11.94768552986483	99	157
11.948369974396186	12.008325918517576	12.014419151037352	101	165
12.015110020966352	12.074660885671223	12.081178753165556	103	174
12.081863197696913	12.131982975489901	12.147927739419394	105	182
12.148618609348395	12.197862577506358	12.214699074882422	107	190
12.21538994481142	12.262612147633288	12.264756274889685	109	198
12.265453570216327	12.312017309462515	12.316297183021865	110	204
12.31697520215558	12.360873798206196	12.364886319350644	112	210
12.365577189279643	12.411617398300622	12.414950503485779	113	216
12.415641373414777	12.463552490609839	12.465017201906946	115	222
12.465708071835945	12.517834529248828	12.531783508797906	116	229
12.532480804124546	12.587401192050944	12.598505117270491	118	237
12.59919598719949	12.655226572092262	12.665268909875417	120	245
12.665966205202057	12.729481540251623	12.732007838985123	122	253
12.732705134311763	12.794755478699107	12.798767999843555	124	5
12.799471720567837	12.864427462149518	12.865510001969524	126	13
12.866175170307958	12.92968044821339	12.9322916739418	0	22
12.932963267677875	12.993118957856375	12.999042336386328	2	30
12.999713930122404	13.056534000829714	13.06576953216121	4	38
13.066447551294926	13.123829145883066	13.132555115245093	6	46
13.13322670898117	13.187712963519106	13.199283987210665	8	54
13.199962006344382	13.263297988990221	13.266036605210997	10	62
13.266714624344713	13.326011546160196	13.332784194639263	12	70
13.33346863917062	13.392576989533586	13.39956195549993	14	79
13.400233549236006	13.454214432281198	13.466295017942224	16	87
13.46697303707594	13.528270492478793	13.533047356577441	18	95
13.533725375711159	13.592077205343136	13.599826514263684	20	103
13.600510958795041	13.654734330759915	13.666560135436207	22	111
